TRACKING_MONTH,CARRIER,SOURCE_CITY,SOURCE_STATE,SOURCE_COUNTRY,DEST_CITY,DEST_STATE,DEST_COUNTRY,ORDER_COUNT,AVG_TRANSIT_DAYS,ACTUAL_TRANSIT_DAYS,ONTIME_PERFORMANCE
2025 03,ODFL,CHICAGO,IL,US,PLANO,IL,US,10,2,2,80
2025 01,ODFL,DALLAS,TX,US,MONTGOMERY,NY,US,2,4,4,100
2025 01,ODFL,LOSANGELES,CA,US,PORTLAND,TN,US,2,4,4,100
2025 01,ODFL,LOSANGELES,CA,US,HERMISTON,OR,US,4,2,6,50
2025 01,ODFL,CHICAGO,IL,US,CULLMAN,AL,US,2,2,3,100
2025 03,ODFL,LANCASTER,TX,US,PALESTINE,TX,US,3,1,2,67
2025 02,ODFL,LANCASTER,TX,US,SEARCY,AR,US,4,1,5,25
2025 02,ODFL,LOSANGELES,CA,US,ONTARIO,CA,US,2,1,3,100
2025 03,ODFL,CHICAGO,IL,US,HOPKINS,MN,US,4,1,5,50
2025 03,ODFL,LOSANGELES,CA,US,PORTERVILLE,CA,US,4,1,2,100
2025 03,ODFL,RICHMOND,VA,US,INDIANAPOLIS,IN,US,2,2,5,100
2025 04,ODFL,CHICAGO,IL,US,ROANOKE,TX,US,2,2,6,100
2025 04,ODFL,RICHMOND,VA,US,PERRYSBURG,OH,US,8,2,4,100
2025 04,ODFL,CHICAGO,IL,US,PORTLAND,TN,US,12,2,4,100
2025 04,ODFL,CHICAGO,IL,US,STUARTS DRAFT,VA,US,3,2,5,100
2025 04,ODFL,CHICAGO,IL,US,VILLA RICA,GA,US,5,2,5,100
2025 04,ODFL,CHICAGO,IL,US,EDWARDSVILLE,IL,US,6,1,2,67
2025 04,ODFL,CHICAGO,IL,US,MT. CRAWFORD,VA,US,4,2,4,100
2025 04,ODFL,RICHMOND,VA,US,JUPITER,FL,US,4,2,4,50
2025 04,ODFL,RICHMOND,VA,US,JEFFERSON,GA,US,9,1,2,45
2025 04,FDEG,DALLAS,TX,US,TUCKER,GA,US,2,1,6,100
2025 04,ODFL,DALLAS,TX,US,KANSAS CITY,MO,US,6,2,5,100
2025 04,ODFL,CHICAGO,IL,US,CLEVELAND,TN,US,6,2,7,100
2025 04,ODFL,CHICAGO,IL,US,WILTON,NY,US,2,2,4,100
2025 04,ODFL,LOSANGELES,CA,US,MENOMONIE,WI,US,2,4,5,100
2025 04,ODFL,LOSANGELES,CA,US,AURORA,CO,US,6,2,7,34
2025 04,ODFL,LOSANGELES,CA,US,WAXAHACHIE,TX,US,2,2,4,100
2025 04,ODFL,DALLAS,TX,US,FRESNO,TX,US,3,1,4,100
2025 04,ODFL,CHICAGO,IL,US,HOPE MILLS,NC,US,2,2,5,100
2025 04,FXFC,MILTON,ON,CA,NORTH BAY,ON,CA,1,1,4,100
2025 04,ODFL,CHICAGO,IL,US,JOLIET,IL,US,1,1,2,100
2025 05,ODFL,RICHMOND,VA,US,STAUNTON,VA,US,67,1,2,98
2025 05,ODFL,LOSANGELES,CA,US,OPELOUSAS,LA,US,80,3,1,95
2025 05,ODFL,CHICAGO,IL,US,FRIDLEY,MN,US,55,1,2,97
